crime_date_time,location,district,neighborhood,premise,year,month,date,time_range,quarter,longitude,latitude,victims,average_age,juvenile_victims,id,near_western_near,geometry,color
2022-10-10T20:44:39Z,1900 Braddish Ave,Southwestern,Walbrook,Street,2022,10,2022-10-10,Night,4,-76.6612,39.3094,1,39,0,6393,TRUE,"c(-76.6612, 39.3094)",#0065d1
2022-10-12T21:28:44Z,2800 Baker St,Southwestern,Coppin Heights/Ash-Co-East,Street,2022,10,2022-10-12,Night,4,-76.663,39.3061,1,45,0,6397,TRUE,"c(-76.663, 39.3061)",#0065d1
2022-10-15T19:53:53Z,2600 Wilkens Ave,Southwestern,Millhill,Street,2022,10,2022-10-15,Evening,4,-76.6561,39.279,1,53,0,6406,TRUE,"c(-76.6561, 39.279)",#0065d1
2022-10-21T14:13:14Z,3000 Greenspring Av,Northwestern,Druid Hill Park,Street,2022,10,2022-10-21,Early Afternoon,4,-76.6505,39.3202,1,28,0,6419,TRUE,"c(-76.6505, 39.3202)",#ff9200
2022-10-26T20:01:13Z,2100 Brunt St,Central,Druid Heights,Street,2022,10,2022-10-26,Night,4,-76.6381,39.3071,1,18,0,6430,TRUE,"c(-76.6381, 39.3071)",#00d3ff
2022-10-29T16:06:14Z,1800 Brunt St,Central,Upton,Dwelling,2022,10,2022-10-29,After School,4,-76.6356,39.3051,1,43,0,6439,TRUE,"c(-76.6356, 39.3051)",#00d3ff
2022-10-30T21:04:19Z,500 S Bentalou St,Southwestern,Carrollton Ridge,Street,2022,10,2022-10-30,Night,4,-76.6526,39.2814,1,43,0,6442,TRUE,"c(-76.6526, 39.2814)",#0065d1
2022-11-01T19:40:44Z,2000 W Pratt St,Southern,Carrollton Ridge,Street,2022,11,2022-11-01,Evening,4,-76.6486,39.2852,4,32.8,1,6445,TRUE,"c(-76.6486, 39.2852)",#d25a3f
2022-11-03T04:35:10Z,2500 Brookfield Ave,Central,Reservoir Hill,Street,2022,11,2022-11-03,Morning,4,-76.634,39.3153,1,38,0,6448,TRUE,"c(-76.634, 39.3153)",#00d3ff
2022-11-03T18:04:40Z,1800 Ramsay St,Southern,Carrollton Ridge,Alley,2022,11,2022-11-03,Evening,4,-76.6457,39.2831,1,48,0,6449,TRUE,"c(-76.6457, 39.2831)",#d25a3f
2022-11-05T19:47:10Z,1500 Eutaw Pl,Central,Madison Park,Dwelling,2022,11,2022-11-05,Evening,4,-76.6283,39.3054,1,27,0,6456,TRUE,"c(-76.6283, 39.3054)",#00d3ff
2022-11-05T23:07:26Z,0 S Greene St,Central,University Of Maryland,Street,2022,11,2022-11-05,Night,4,-76.6237,39.2884,1,16,1,6459,TRUE,"c(-76.6237, 39.2884)",#00d3ff
2022-11-11T00:14:27Z,2900 Reisterstown Rd,Northwestern,Liberty Square,Street,2022,11,2022-11-11,Early Morning,4,-76.6545,39.3209,1,19,0,6469,TRUE,"c(-76.6545, 39.3209)",#ff9200
2022-11-14T11:36:55Z,1200 Braddish Ave,Southwestern,Winchester,Street,2022,11,2022-11-14,Morning,4,-76.6609,39.3016,1,24,0,6474,TRUE,"c(-76.6609, 39.3016)",#0065d1
2022-11-18T22:31:57Z,0 S Greene St,Central,University Of Maryland,Hospital,2022,11,2022-11-18,Night,4,-76.6237,39.2884,1,23,0,6483,TRUE,"c(-76.6237, 39.2884)",#00d3ff
2022-11-20T16:30:32Z,2600 Saint Benedict St,Southwestern,Millhill,Street,2022,11,2022-11-20,After School,4,-76.6565,39.28,1,25,0,6486,TRUE,"c(-76.6565, 39.28)",#0065d1
2022-11-20T22:25:19Z,1500 Pennsylvania Ave,Central,Upton,Street,2022,11,2022-11-20,Night,4,-76.6328,39.3019,3,21.3,0,6487,TRUE,"c(-76.6328, 39.3019)",#00d3ff
